"title","budget","genre","mpaa","runtimes","rating"
"Approaching Midnight","1000000","14","2","86","4.9"
"April Showers","1100000","4","4","94","6.0"
"April's Shower","1000000","5","4","100","4.9"
"Apt Pupil","14000000","4","4","111","6.7"
"Aqua Teen Hunger Force Colon Movie Film for Theaters","750000","20","4","86","6.9"
"Aquamarine","12000000","5","2","104","5.2"
"Arachnid","570000","13","4","95","3.9"
"Arbitrage","12000000","4","4","107","6.6"
"Are We There Yet?","32000000","13","2","95","4.5"
"Argo","44500000","4","4","120","7.8"
"Arizona Dream","19000000","5","4","142","7.4"
"Arlington Road","21500000","20","4","117","7.2"
"Armageddon","140000000","20","3","151","6.6"
"Armored","20000000","20","3","88","5.7"
"Army of Darkness","13000000","5","4","81","7.6"
"Arnolds Park","600000","6","3","103","5.6"
"Around the Fire","1200000","4","4","106","5.6"
"Around the World in 80 Days","110000000","20","2","120","5.8"
"Art of Submission","5000000","20","3","119","4.5"
"Arthur","40000000","5","3","110","5.8"
"Article 99","18000000","5","4","100","6.0"
"Artie","1000000","5","4","89","3.3"
"Artificial Intelligence: AI","100000000","13","3","146","7.1"
"As Good as It Gets","50000000","5","3","139","7.8"
"Assassination Games","8000000","20","4","101","6.2"
"Assassination of a High School President","11500000","5","4","93","6.3"
"Assassins","50000000","20","4","132","6.3"
"Assassins Run","4000000","20","4","88","4.4"
"Assassins' Code","1200000","18","4","104","3.5"
"Assault on Precinct 13","20000000","20","4","109","6.3"
"Assaulted: Civil Rights Under Fire","175000","1","3","79","8.2"
"Assisted Living","500000","5","4","78","6.7"
"Astro Boy","40000000","20","2","94","6.4"
"Aswang","70000","2","4","82","5.4"
"At First Sight","60000000","4","3","128","5.9"
"At Middleton","2500000","5","4","99","6.5"
"At Play in the Fields of the Lord","36000000","4","4","189","6.7"
"At the Edge of the World","1100000","20","2","90","7.1"
"Atlantis: The Lost Empire","90000000","13","2","95","6.7"
"Atlas Shrugged II: The Strike","10000000","4","3","111","5.5"
"Atlas Shrugged: Part I","4300000","4","3","97","5.8"
"Atlas Shrugged: Part III","5000000","4","3","99","4.4"
"ATM","3000000","2","4","90","4.6"
"Atonement","30000000","4","4","123","7.8"
"Attack of the 50ft Cheerleader","1000000","5","4","83","4.5"
"Attack the Block","13000000","20","4","88","6.6"
"August","3400000","4","4","88","5.4"
"August Evening","35000","4","3","127","6.9"
"August Rush","30000000","4","2","114","7.6"
"August: Osage County","25000000","4","4","121","7.3"
"Austin Powers in Goldmember","63000000","20","3","94","6.2"
"Austin Powers: International Man of Mystery","17000000","5","3","94","7.0"
"Austin Powers: The Spy Who Shagged Me","33000000","20","3","95","6.6"
"Australia","130000000","13","3","165","6.6"
"Auto Focus","7000000","11","4","105","6.6"
"Autopsy","2000000","2","4","84","5.0"
"Autumn in New York","40000000","4","3","103","5.4"
"Autómata","7000000","20","4","109","6.1"
