"title","budget","genre","mpaa","runtimes","rating","gross"
"Dumb and Dumberer: When Harry Met Lloyd","19000000","5","3","85","3.4","26276465"
"Dungeons & Dragons","45000000","20","3","107","3.6","15220685"
"Duplex","40000000","5","3","89","5.8","9692135"
"E.T. the Extra-Terrestrial","10500000","10","2","115","7.9","435110554"
"Easy Come, Easy Go","2000000","13","2","95","5.1","1950000"
"Eat Pray Love","60000000","4","3","133","5.6","80574010"
"Ed Wood","18000000","11","4","127","7.9","5887457"
"Edge of Tomorrow","178000000","20","3","113","8.0","100206256"
"Eight Below","40000000","13","2","120","7.3","81612565"
"Eight Legged Freaks","30000000","20","3","99","5.4","17322606"
"Elegy","13000000","4","4","112","6.8","3581642"
"Elektra","43000000","20","3","97","4.8","24409722"
"Elf","33000000","5","2","97","6.9","173398518"
"Elizabeth","25000000","11","4","124","7.5","30034127"
"Elysium","115000000","20","4","109","6.7","93050117"
"Encino Man","7000000","5","2","88","5.6","40693477"
"End of Days","83000000","20","4","121","5.7","66889043"
"End of the Spear","10000000","13","3","108","7.0","11967000"
"End of Watch","7000000","14","4","109","7.7","41003371"
"Ender's Game","110000000","20","3","114","6.7","61737191"
"Enemy at the Gates","68000000","4","4","131","7.6","51401758"
"Enemy of the State","90000000","20","4","140","7.3","111549836"
"Enough","38000000","14","3","115","5.5","40007742"
"Enter the Dragon","850000","20","4","102","7.7","25000000"
"Epic","100000000","13","2","102","6.7","107518682"
"Eragon","100000000","20","2","104","5.1","75030163"
"Eraser","100000000","20","4","115","6.0","101295562"
"Erin Brockovich","52000000","11","4","131","7.3","125595205"
"Ernest Rides Again","7000000","5","2","96","5.0","1450029"
"Escape from Planet Earth","40000000","13","2","89","5.9","57012977"
"Escape Plan","50000000","20","4","115","6.8","25132228"
"Evan Almighty","175000000","5","2","96","5.4","100462298"
"Eve of Destruction","13000000","20","4","99","4.8","5451119"
"Even Cowgirls Get the Blues","8000000","5","4","95","4.2","1710000"
"Event Horizon","50000000","2","4","96","6.7","26673242"
"EverAfter","26000000","5","2","121","7.0","65705771"
"Excessive Force","3000000","20","4","87","5.1","1152117"
"Executive Decision","55000000","20","4","133","6.4","56569216"
"Exit Wounds","33000000","20","4","101","5.5","51758599"
"Exorcist: The Beginning","50000000","2","4","114","5.1","41821986"
"Expelled: No Intelligence Allowed","3500000","1","2","90","3.7","7690545"
"Explorers","25000000","13","2","109","6.6","9873044"
"Eye for an Eye","20000000","14","4","101","6.1","26792700"
"Eyes Wide Shut","65000000","4","4","159","7.3","55691208"
"Facing the Giants","100000","4","2","111","6.6","10178331"
"Fair Game","50000000","20","4","91","4.1","11534477"
"Faithful","13000000","5","4","91","5.9","2104000"
"Falling Down","25000000","14","4","113","7.6","40903593"
"Fanboys","3900000","13","3","90","6.6","688529"
"Fantastic Four","100000000","20","3","106","5.7","154696080"
"Far and Away","60000000","13","3","140","6.5","58883840"
"Fargo","7000000","14","4","98","8.2","24611975"
"Father of the Bride Part II","30000000","5","2","106","5.9","76594000"
"Fear of a Black Hat","999999","5","4","88","7.2","238230"
"Federal Hill","80000","14","4","97","6.4","518663"
"Fight Club","63000000","4","4","139","8.9","37030102"
"Final Destination","23000000","2","4","98","6.7","53331147"
"Final Destination 2","26000000","2","4","90","6.2","46961214"
"Final Destination 5","40000000","2","4","92","5.9","42587643"
"Finding Neverland","25000000","11","2","106","7.8","51680613"
"Fire Down Below","60000000","20","4","105","4.9","16228448"
"Fireproof","500000","4","2","122","6.5","33456317"
"First Knight","55000000","20","3","134","5.9","37600435"
"Flags of Our Fathers","53000000","4","4","135","7.1","33602376"
"Fled","25000000","20","4","98","5.3","17100000"
"Flightplan","55000000","20","3","98","6.2","89707299"
"Flirting with Disaster","7000000","5","4","92","6.8","14891000"
"Flubber","80000000","5","2","93","5.1","92977226"
"Flushed Away","149000000","13","2","85","6.7","64665672"
"Footloose","24000000","5","3","113","5.8","51802742"
"For the Boys","40000000","5","4","138","6.2","17860280"
"Forces of Nature","75000000","5","3","105","5.4","52888180"
"Forrest Gump","55000000","4","3","142","8.8","557683"
"Fortress","8000000","20","4","95","5.8","6739141"
"Four Rooms","4000000","5","4","98","6.7","4301331"
"Four Weddings and a Funeral","4500000","5","4","117","7.1","52700832"
"Frankenhooker","2500000","5","4","85","6.1","205068"
"Frankenstein","45000000","4","4","123","6.4","22006296"
"Frankenweenie","39000000","19","2","87","7.0","35291068"
"Freaked","11000000","5","3","86","6.2","29296"
"Freddy vs. Jason","25000000","2","4","97","5.8","82622655"
"Freddy's Dead: The Final Nightmare","8500000","5","4","105","4.9","34872033"
"Free Birds","55000000","13","2","91","5.9","55750480"
"Free Willy","20000000","13","2","112","5.8","77698625"
"Freejack","30000000","20","4","110","5.3","17129000"
"Frequency","31000000","14","3","118","7.3","45010278"
"Fresh","3500000","14","4","114","7.7","8094616"
"Frida","12000000","11","4","123","7.4","25885000"
"Friday","3500000","5","4","91","7.3","27900000"
"Friday the 13th","19000000","2","4","97","5.6","65002019"
"Friends with Benefits","35000000","5","4","109","6.6","55802754"
"From Dusk Till Dawn","19000000","20","4","108","7.3","25753840"
"Frozen","150000000","13","2","102","7.7","400738009"
"G-Force","150000000","20","2","88","5.1","119436770"
"G.I. Jane","50000000","20","4","125","5.8","48169156"
"G.I. Joe: Retaliation","130000000","20","3","110","5.8","122523060"
"Galaxy Quest","45000000","20","2","102","7.3","71583916"
"Gangs of New York","97000000","14","4","167","7.5","77812000"
"Gangster Squad","60000000","20","4","113","6.8","46000903"
"Garfield","35000000","19","2","80","4.9","75369589"
"Geronimo: An American Legend","35000000","4","3","115","6.4","13736475"
"Get Shorty","30250000","5","4","105","6.9","72077000"
"Getting Even with Dad","30000000","5","2","109","4.5","18438164"
"Gettysburg","25000000","4","2","271","7.7","10769960"
