"title","budget","genre","mpaa","runtimes","gross"
"Brother","10000000","14","4","114","931972001"
"Bruce Almighty","81000000","5","3","101","242829261"
"Brüno","42000000","5","4","81","60054530"
"Buffalo '66","1500000","5","4","110","2375097"
"Buffy the Vampire Slayer","7000000","20","3","86","16624456"
"Bugsy","30000000","11","4","136","49114016"
"Bullets Over Broadway","20000000","5","4","98","13383737"
"But I'm a Cheerleader","1200000","5","4","85","2205627"
"C'era una volta il West","5000000","22","3","175","2102711969"
"C'est arrivé près de chez vous","1000000","5","5","95","205569"
"Cabin Fever","1500000","5","4","93","21158188"
"Cadillac Records","12000000","11","4","109","8195551"
"Calendar Girl","13000000","5","3","90","2570145"
"Calendar Girls","10000000","5","3","108","31041759"
"Camp","200000","4","3","109","324977"
"Canadian Bacon","11000000","5","2","91","178104"
"Candyman","6000000","4","4","99","25792310"
"Cape Fear","35000000","14","4","128","79100000"
"Capote","7000000","11","4","114","8624"
"Captain America: The First Avenger","140000000","20","3","124","176654505"
"Captain America: The Winter Soldier","170000000","20","3","136","259766572"
"Captain Corelli's Mandolin","57000000","4","4","131","36569000"
"Captain Phillips","55000000","11","3","134","107100855"
"Carlito's Way","30000000","14","4","144","36948322"
"Carnosaur","1000000","2","4","83","1753979"
"Carrie","30000000","4","4","100","35266619"
"Casablanca","950000","4","2","102","150947"
"Casino","52000000","11","4","178","42438300"
"Casper","50000000","5","2","100","100328194"
"Cast Away","90000000","13","3","143","11104279"
"Catch Me If You Can","52000000","11","3","141","164615351"
"Cats & Dogs","60000000","5","2","87","93385515"
"Catwoman","100000000","20","3","104","40202379"
"Cecil B. DeMented","10000000","5","4","87","1284646"
"Cellular","25000000","14","3","94","56422687"
"Chain Reaction","50000000","20","3","107","38200000"
"Changeling","55000000","4","4","141","35739802"
"Changing Lanes","45000000","4","4","98","66818548"
"Chaplin","31000000","11","3","143","9493259"
"Charlie and the Chocolate Factory","150000000","13","2","115","206459076"
"Charlie Wilson's War","75000000","11","4","102","66661095"
"Charlie's Angels","92000000","20","3","98","264105545"
"Charlie's Angels: Full Throttle","120000000","20","3","106","100830111"
"Charly","950000","5","2","103","814666"
"Chasing Amy","250000","5","4","113","133851753"
"Cheaper by the Dozen","40000000","5","2","98","190212113"
"Cheaper by the Dozen 2","60000000","13","2","94","82571173"
"Cherish","1500000","5","4","99","179751"
"Chicago","45000000","5","3","113","1360892142004"
"Child's Play 3","13000000","2","4","90","96730951991"
"Children of Men","76000000","4","4","109","68327768"
"Children of the Corn II: The Final Sacrifice","900000","2","4","92","6980986"
"Children on Their Birthdays","10000000","5","2","102","549122002"
"China Moon","15000000","9","4","99","3038499"
"Chocolat","25000000","4","3","121","71509363"
"Choke","3000000","5","4","92","3982459"
"Christmas at Maxwell's","3000000","4","2","94","12781"
"Christmas with the Kranks","60000000","5","2","99","96572480"
"Christopher Columbus: The Discovery","40000000","13","3","120","8251071"
"Chronicle","12000000","4","3","84","64575175"
"Cinderella Man","88000000","11","3","144","61649911"
"Cirque du Freak: The Vampire's Assistant","40000000","20","3","109","106233"
"City Hall","40000000","4","4","111","20200000"
"City of Angels","55000000","4","3","114","78685114"
"City of Ember","55000000","13","2","90","17929684"
"City of Hope","3000000","14","4","129","1264910"
"City of Joy","27000000","4","3","132","14683921"
"City Slickers II: The Legend of Curly's Gold","40000000","13","3","116","43622150"
